Blog		better	mark	model	process	things	non	level	thing	think	old	away	size	actually	go	day	san	point	air	say	street	everything	once	against	issue	yes	else	yet	microsoft	c	start	d	e	g	anything	minutes	m	o	really	p	u	ready	x	them	then	rather	review	full	first	months	campaign	control	heard	dead	try	inside	fox	given	group	times	were	side	online	him	stop	his	hit	details	never	follow	win	live	nearly	tell	done	clear	saying	phone	above	after	sharing	kids	problem	started	age	least	having	someone	comes	ago	little	video	wrote	says	fast	sent	came	probably	current	yesterday	who	car	especially	why	almost	points	image	david	store	hasn	itself	information	plan	media	story	version	rock	four	play	cut	author	run	doing	release	pretty	cool	another	however	call	many	note	plus	coming	edition	young	too	top	working	apps	create	hard	myself	certainly	audio	co	thanks	software	very	via	while	photos	possible	number	getting	than	until	end	three	radio	night	list	action	need	still	into	able	completely	add	everyone	wouldn	please	browser	often	system	looks	lot	might	each	youtube	bad	readers	ways	come	feel	morning	went	web	total	blogging	game	her	article	these	several	through	steve	school	love	super	off	ad	site	both	find	going	al	am	idea	buy	williams	appeared	last	security	view	according	public	good	under	make	announced	don	office	page	means	available	different	seems	us	next	comments	local	looking	enough	children	reader	recently	taken	design	takes	build	reports	anyone	likely	built	well	finally	th	iphone	great	news	apple	even	tv	ever	didn	water	nothing	friends	example	popular	other	name	movie	hand	lots	below	issues	interview	plans	juan	left	maybe	tools	gets	couple	court	themselves	wrong	its	whole	within	days	currently	apparently	early	should	later	latest	house	would	hope	become	put	debate	national	mdash	final	matter	created	wants	drive	haven	writing	com	move	where	perhaps	ideas	back	isn	quick	doesn	results	aren	re	had	before	own	watch	reason	line	right	together	war	link	entire	service	way	bill	creative	personal	hours	services	google	half	easy	head	understand	based	continue	text	order	internet	change	search	job	running	using	ask	weeks	attention	tech	million	devices	though	such	platform	does	reasons	spent	book	york	check	few	features	seem	seen	answer	simple	products	our	step	flash	years	around	website	terms	press	simply	art	pro	home	also	project	much	keep	power	read	only	large	real	piece	bring	changed	space	party	because	every	kind	most	did	facebook	took	tool	oh	meet	talk	beta	six	support	team	jobs	quite	community	look	special	guy	videos	mind	believe	drop	american	down	data	open	report	asked	money	made	she	take	no	future	called	turn	president	books	earlier	app	high	again	source	games	long	best	show	value	university	posted	business	could	same	include	year	week	me	percent	audience	happy	family	america	my	amazon	used	city	music	user	far	word	daily	october	work	among	soon	past	let	across	told	since	following	building	interesting	download	people	ll	fun	question	feature	less	free	any	give	health	during	government	launch	including	shows	related	industry	won	event	part	billion	sure	third	mac	network	two	course	want	always	man	photo	technology	see	experience	must	mean	nice	may	goes	set	questions	found	update	series	conference	white	content	companies	important	world	appears	being	camera	between	case	write	original	making	others	trying	digital	over	use	users	life	wanted	sites	talking	mobile	big	along	close	second	taking	tax	either	similar	bit	post	share	care	person	twitter	recent	said	makes	social	ipad	fact	know	front	five	links	state	true	html	country	month	something	reading	thought	got	single	without	place	blog	already	problems	obama	company	npr	those	leave	email	launched	he	computer	culture	behind	small	help	instead	nbsp	released
http://feeds.feedburner.com/ConsumingExperienceFull	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Joystiq	1	0	0	0	1	3	1	5	3	4	5	3	0	7	1	10	0	2	0	4	0	0	2	0	2	3	0	2	0	1	2	8	2	1	6	0	1	0	1	0	1	1	0	8	3	0	7	4	8	2	0	0	0	5	2	1	0	1	2	0	8	2	10	2	0	4	2	1	7	0	0	8	0	1	3	0	3	0	1	12	0	4	0	1	4	2	2	2	4	0	3	5	0	1	1	0	2	3	0	0	6	0	0	2	1	4	0	0	6	3	1	0	2	0	1	7	10	5	5	1	0	3	2	9	2	0	5	0	0	3	1	9	1	3	2	4	3	6	0	3	0	0	1	0	5	2	0	2	3	5	0	1	4	1	5	5	1	5	1	1	1	2	6	7	10	3	1	3	0	0	41	1	1	8	0	1	4	2	0	4	0	0	5	1	0	2	0	0	0	42	0	0	6	1	4	0	0	3	14	5	0	4	7	4	4	3	0	3	0	0	40	1	0	0	4	0	2	0	5	6	4	0	2	0	4	2	3	10	7	41	0	1	4	1	0	4	1	1	0	1	0	2	2	2	8	3	9	11	3	1	1	5	2	5	3	0	2	0	1	1	7	2	0	1	0	3	2	1	1	0	2	0	0	8	2	0	1	1	19	1	4	3	1	3	1	1	0	3	0	11	0	1	2	0	0	0	0	0	5	0	0	1	0	1	4	4	4	1	4	2	0	3	1	1	15	7	4	3	2	2	1	5	0	3	1	1	2	5	0	1	0	0	1	1	0	2	4	0	3	22	0	4	0	0	0	1	0	3	1	6	1	1	14	0	4	0	2	2	0	0	0	0	7	3	11	3	0	0	1	0	44	2	0	1	5	1	40	3	0	1	5	1	12	1	3	3	0	0	10	1	12	2	5	0	0	1	2	0	2	3	5	0	0	0	0	4	2	4	1	1	4	0	2	4	3	2	1	0	3	0	1	0	7	1	0	0	0	2	3	0	4	5	2	2	2	0	0	2	2	0	3	3	14	2	0	2	0	0	4	0	8	5	2	5	4	1	0	1	3	1	6	0	0	2	1	2	4	0	1	0	2	4	2	2	3	1	2	5	2	0	2	2	1	1	17	1	0	0	3	10	4	3	0	3	0	4	1	1	0	3	2	0	4	2	4	1	0	2	8	3	2	2	1	1	1	47	5	1	1	1	6	1	2	0	1	8	2	0	3	2	0	0	3	3	5	1	4	4	0	4	3	0	5	1	4	46	5	0	1	0	1	1	3	0	1	0	3	0	2	1	3	0	0	1	0	0	2	10	0	1	5	3	4	0	3	0	0	1	0	1	2	2	22	3	4	0	4	0	2	1	2	0	15	0	6	0	40	1	7	1	0	2	0	0	0	160	9
Bloglines | News	0	1	0	0	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	1	0	0	3	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	1	0	0	1	0	0	1	0	0	6	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	3	0	1	2	2	0	0	1	0	0	0	2	0	0	0	1	1	0	3	2	2	0	5	3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	4	1	1	1	0	4	0	0	0	0	2	0	3	0	0	1	0	3	0	0	0	5	0	2	1	0	6	3	0	0	1	0	0	5	1	0	0	0	0	0	0	1	0	0	1	3	1	1	0	0	1	1	0	0	0	0	0	2	3	1	0	0	1	0	0	4	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	7	4	2	0	0	7	0	2	0	2	0	9	0	0	0	2	0	0	1	0	0	0	0	7	0	0	0	0	2	2	3	0	0	0	0	3	3	0	0	0	0	4	0	3	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	3	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	11	0	5	21	0	0	0	1	0	0	0	0	0	0	0	2	13	0	1	0	0	2	2	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	1	2	0	1	1	0	0	0	0	1	0	0	8	2	0	2	0	0	8	0	0	6	0	0	1	0	1	0	0	0	2	0	2	0	0	1	0	0	0	1	0	0	0	5	0	0	0	1	1	1	2	0	0	2	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	0	0	4	1	5	0	4	1	0	1	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	4	1	4	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	1
http://moblogsmoproblems.blogspot.com/rss.xml	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.talkingpointsmemo.com/index.xml	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Quick Online Tips	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	2	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
MAKE Magazine	3	2	2	1	7	4	0	0	4	4	2	2	4	3	4	5	1	0	0	3	0	3	1	0	7	0	2	4	0	0	3	7	0	1	1	1	8	3	6	0	0	1	2	9	7	0	0	48	5	1	0	2	1	1	3	3	0	0	1	0	6	0	2	3	0	21	1	2	2	7	0	2	0	1	2	0	0	0	8	5	0	5	0	5	2	1	2	0	4	4	5	12	1	1	0	1	3	1	0	1	6	1	2	4	3	0	3	0	1	0	1	0	1	0	46	7	0	2	2	2	1	1	3	1	2	8	1	2	1	1	1	3	0	0	0	4	1	5	0	2	4	0	0	2	0	6	2	4	16	4	2	2	1	4	6	1	5	4	0	2	1	4	5	3	12	0	2	3	1	1	0	0	4	0	3	4	4	8	1	0	0	4	4	0	2	0	1	3	1	0	5	2	9	4	4	2	0	4	2	7	0	2	3	4	3	0	3	4	0	0	0	8	0	1	0	0	4	2	88	0	3	0	4	2	4	3	0	9	2	45	0	6	5	1	1	0	1	7	0	13	0	1	1	8	3	5	5	0	8	1	1	0	1	3	3	1	1	1	2	1	13	3	0	3	2	4	1	1	1	0	1	0	6	2	1	0	2	2	5	3	1	3	0	2	3	2	0	4	5	8	3	4	4	0	0	3	0	0	3	0	0	2	0	2	2	2	1	7	8	0	3	1	2	0	15	9	2	12	3	0	2	5	4	0	4	1	0	3	0	5	2	3	0	2	0	3	4	0	8	2	0	1	0	0	0	0	0	7	1	1	1	3	0	2	1	4	2	1	1	0	3	1	7	7	3	2	2	0	1	0	18	5	0	6	2	2	0	0	0	6	0	2	3	15	2	1	8	92	3	2	2	5	2	1	8	1	1	3	1	2	4	1	0	2	1	0	1	0	1	4	2	1	2	1	1	2	0	1	1	1	0	1	2	0	7	0	1	1	14	3	13	4	2	5	0	0	0	0	0	0	1	7	1	6	1	6	3	0	1	0	3	0	0	7	3	11	0	1	1	0	0	38	0	3	1	3	1	1	0	1	3	10	0	1	1	1	0	1	2	1	10	1	5	5	6	5	0	1	6	3	2	5	0	4	0	0	2	2	2	0	0	3	8	0	4	5	0	3	9	1	7	7	1	4	0	11	3	0	1	2	5	0	4	1	2	1	3	0	2	0	0	1	9	1	3	9	3	2	1	4	6	2	0	5	7	9	1	5	1	0	0	0	1	1	1	6	0	0	1	0	2	2	2	1	0	1	0	2	4	0	0	1	4	3	0	2	0	1	0	1	3	7	1	1	4	3	0	5	6	1	1	0	2	0	5	0	3	0	19	4	1	0	8	1	0	0	0
Lifehacker	1	1	0	1	1	0	1	0	3	0	2	1	0	2	1	5	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	1	0	8	4	1	1	0	1	2	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	1	3	0	0	0	2	0	1	0	0	1	1	0	3	0	1	0	0	0	0	0	1	0	0	0	0	1	6	0	0	0	0	0	1	0	1	2	0	0	3	0	0	0	0	5	0	1	0	1	2	0	1	0	1	0	0	2	1	1	0	2	0	1	0	1	2	0	1	0	0	0	2	0	3	7	8	2	0	0	0	0	0	1	1	2	7	2	0	2	1	3	0	3	0	0	0	1	0	2	2	1	1	1	0	0	0	0	3	2	2	0	0	1	0	0	0	2	3	1	0	0	0	4	1	0	0	1	0	1	0	1	0	0	2	0	3	0	0	1	0	2	0	0	2	0	0	0	3	0	0	0	0	2	2	5	1	0	2	0	0	1	3	0	3	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	1	3	11	3	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	3	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	1	2	0	0	0	0	1	1	0	2	2	0	0	2	2	4	1	1	0	0	6	0	1	4	0	0	0	3	0	0	0	0	1	4	0	1	3	0	3	1	1	4	2	0	1	1	0	0	0	0	0	2	3	4	3	0	1	1	0	1	1	0	0	0	2	0	2	0	0	4	1	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	8	3	0	2	3	4	2	6	0	0	0	0	0	3	0	1	3	0	2	1	6	0	2	0	0	1	2	0	0	0	1	0	0	2	0	0	0	4	0	0	0	2	1	1	0	0	0	0	0	2	2	1	0	0	0	0	0	9	0	0	0	0	1	4	1	3	0	0	0	2	1	0	1	1	1	0	0	2	0	0	2	0	0	0	1	1	0	0	0	0	4	0	1	0	1	0	0	1	0	0	0	0	3	0	1	1	0	0	9	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	13	0	1	0	4	1	0	0	0	3	1	0	0	0	3	0	1	0	1	1	0	0	0	1	0	1	3	0	1	0	1	0	0	0	2	0	1	0	5	7	3	2	1	3	0	3	0	1	1	1	1	0	0	0	1	1	1	0	0	0	1	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	5	0	2	0	2	2	0	1	0	1	1	40	3
Techdirt	0	3	0	3	3	7	14	1	3	3	1	2	0	8	7	3	0	7	0	4	0	4	2	7	6	2	1	4	0	0	1	1	3	1	4	0	10	0	7	0	0	0	0	14	6	8	3	1	18	2	0	0	1	0	2	0	2	4	1	5	2	4	2	5	4	12	0	5	1	0	2	3	1	2	4	6	2	1	1	12	5	3	4	2	0	1	3	2	0	3	2	2	5	6	1	1	1	3	3	0	15	1	4	7	3	5	2	1	1	2	2	0	3	1	22	3	0	0	0	1	2	0	7	1	7	0	4	6	1	6	1	0	0	0	0	2	1	3	2	8	3	0	6	0	0	1	15	3	3	13	0	2	4	1	15	0	5	2	0	0	2	0	3	8	6	2	0	2	3	3	1	0	5	3	0	6	3	2	2	4	2	2	4	0	0	4	3	0	0	9	1	10	13	0	4	1	2	1	1	5	4	5	2	3	8	0	3	8	1	0	0	3	1	0	3	7	8	10	12	0	9	0	5	12	4	9	13	18	5	21	1	1	2	3	1	4	1	0	2	2	2	5	3	1	16	0	0	0	1	11	1	18	0	0	5	0	3	0	5	4	21	6	5	0	1	0	8	3	2	0	3	1	2	3	1	12	1	2	12	3	0	2	1	9	2	11	1	2	1	21	0	5	7	2	1	0	0	2	5	3	1	0	0	2	0	8	3	7	5	3	2	5	0	3	18	14	3	5	0	1	5	11	3	0	3	5	2	7	2	29	1	0	4	7	1	1	1	5	4	2	3	3	9	1	0	3	1	9	0	0	1	0	0	0	7	12	1	6	4	0	2	0	1	10	0	7	2	1	0	0	8	0	1	8	5	4	4	2	9	1	2	1	6	2	6	1	0	4	14	0	3	2	2	1	2	3	14	5	1	9	16	4	1	0	1	0	1	0	0	2	1	3	3	0	4	1	3	0	0	2	0	3	4	3	5	1	5	5	11	0	4	14	0	2	1	5	0	1	1	1	3	1	6	7	0	3	5	1	8	2	9	8	1	6	0	4	1	2	2	0	0	8	0	2	0	8	4	1	1	0	0	11	1	0	2	4	0	0	2	1	2	1	1	18	2	0	3	0	3	10	26	3	8	0	4	0	4	2	2	14	4	1	8	1	5	2	0	0	5	13	5	3	0	0	1	6	1	4	5	7	5	2	1	0	1	0	0	0	2	17	9	1	5	3	12	0	1	12	3	2	3	7	4	0	17	30	2	1	1	11	1	1	5	2	0	0	2	3	3	4	4	3	5	0	4	13	3	3	5	1	1	6	3	1	0	1	1	2	0	3	1	9	2	1	2	0	6	3	1	4	2	6	3	0	14	0	22	0	31	9	3	3	0	3	2	1	7
Sifry's Alerts	0	4	3	1	0	15	2	0	3	10	6	3	0	3	16	11	0	1	0	3	0	4	5	0	0	1	2	3	0	1	2	19	1	0	0	4	37	0	21	2	4	3	5	8	9	1	1	5	19	5	0	1	5	2	7	0	0	0	4	7	4	0	1	2	3	4	0	2	2	2	2	4	6	4	6	0	0	4	3	6	0	9	2	3	1	2	3	1	3	0	1	7	1	1	4	0	2	2	4	0	22	0	6	7	1	0	1	0	0	0	1	40	1	2	2	3	0	4	4	3	2	1	3	1	6	0	3	3	2	10	4	1	5	0	1	10	10	7	0	7	6	3	0	1	1	4	5	15	0	13	4	2	3	7	14	1	13	3	0	1	4	1	10	13	11	11	3	8	3	2	1	0	8	0	3	13	1	6	0	0	0	2	10	4	1	2	9	1	19	1	2	2	4	0	9	0	0	7	2	10	2	6	8	4	22	0	2	1	6	0	0	9	0	0	0	5	13	2	20	1	11	0	0	11	6	5	1	20	11	0	11	10	7	0	1	3	4	0	3	8	1	3	1	6	20	1	2	0	16	1	0	14	1	6	1	0	2	1	9	4	10	3	7	1	8	1	2	0	0	0	2	4	5	4	0	0	1	1	3	1	0	3	5	0	1	7	2	0	1	6	2	1	11	0	0	0	2	1	0	0	0	3	2	1	1	23	0	0	7	2	0	1	1	3	45	16	7	3	1	2	6	11	7	0	0	2	4	9	0	4	5	3	0	1	3	9	2	1	4	5	0	0	5	0	7	0	1	6	1	1	0	1	4	0	3	3	0	5	0	3	17	2	4	5	3	0	0	1	4	0	14	0	2	7	9	0	0	0	2	0	5	3	23	2	15	2	1	8	13	4	2	0	1	0	0	0	6	3	3	11	4	0	1	1	1	0	0	20	1	4	11	0	3	0	7	0	1	0	0	2	5	0	2	6	3	12	3	7	4	1	8	10	2	1	4	1	6	1	0	4	1	1	0	7	4	3	4	0	2	7	9	2	2	11	5	22	2	0	2	1	0	33	0	7	13	1	1	3	0	0	0	10	5	4	0	6	0	2	5	1	5	11	1	4	26	10	0	3	6	5	5	7	0	3	0	1	3	0	0	1	5	0	7	0	8	3	2	3	8	7	32	2	0	1	5	4	9	1	4	6	0	0	7	3	8	3	0	2	1	3	5	2	10	1	1	33	2	1	1	0	7	0	2	4	12	12	0	0	5	1	1	3	13	5	1	7	5	0	1	0	9	5	1	1	1	2	0	0	3	0	0	3	14	1	6	0	9	2	0	2	3	8	1	3	10	2	0	7	20	2	1	0	5	0	17	2	1	0	2	8	0	1	4	9	0	0	1
